"동별(1)",동별(2),2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4,2024 3/4
"동별(1)",동별(2),세대 (세대),계 (명),계 (명),계 (명),한국인 (명),한국인 (명),한국인 (명),등록외국인 (명),등록외국인 (명),등록외국인 (명),세대당인구 (명),65세이상고령자 (명)
"동별(1)",동별(2),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,소계
"합계",소계,4487671,9605419,4625980,4979439,9350995,4515791,4835204,254424,110189,144235,2.08,1803910
"합계",종로구,72341,150011,71561,78450,138879,66846,72033,11132,4715,6417,1.92,29598
"합계",중구,65378,131589,63248,68341,121324,58447,62877,10265,4801,5464,1.86,26712
"합계",용산구,103860,218370,105220,113150,205145,98118,107027,13225,7102,6123,1.98,39250
"합계",성동구,132856,282385,136194,146191,275403,133271,142132,6982,2923,4059,2.07,50825
"합계",광진구,170383,349307,166408,182899,333403,159948,173455,15904,6460,9444,1.96,59018
"합계",동대문구,173878,359219,173606,185613,340686,166693,173993,18533,6913,11620,1.96,69066
"합계",중랑구,188803,386131,188352,197779,380353,186052,194301,5778,2300,3478,2.01,82248
"합계",성북구,197414,435492,207417,228075,423439,202975,220464,12053,4442,7611,2.14,82864
"합계",강북구,143163,289678,139053,150625,284313,137246,147067,5365,1807,3558,1.99,70643
"합계",도봉구,138862,306926,148222,158704,304255,147261,156994,2671,961,1710,2.19,73227
"합계",노원구,218362,498358,238562,259796,493486,236548,256938,4872,2014,2858,2.26,99576
"합계",은평구,215784,466809,220765,246044,462514,219045,243469,4295,1720,2575,2.14,96983
"합계",서대문구,147107,319749,148996,170753,304523,144288,160235,15226,4708,10518,2.07,59782
"합계",마포구,181686,373874,172953,200921,362564,168948,193616,11310,4005,7305,2.00,59497
"합계",양천구,180600,435867,212218,223649,432523,210874,221649,3344,1344,2000,2.39,79377
"합계",강서구,274044,563515,269481,294034,557662,267019,290643,5853,2462,3391,2.03,106200
"합계",구로구,184161,412441,202945,209496,389416,190695,198721,23025,12250,10775,2.11,82845
"합계",금천구,121224,239577,120697,118880,226003,113632,112371,13574,7065,6509,1.86,47307
"합계",영등포구,192189,397514,194953,202561,374653,183189,191464,22861,11764,11097,1.95,69713
"합계",동작구,187461,387792,186531,201261,377137,182205,194932,10655,4326,6329,2.01,72471
"합계",관악구,286376,496469,248279,248190,479774,241605,238169,16695,6674,10021,1.68,88015
"합계",서초구,170839,412611,196260,216351,408060,194085,213975,4551,2175,2376,2.39,67995
"합계",강남구,246005,564280,269671,294609,558508,267096,291412,5772,2575,3197,2.27,90667
"합계",송파구,287511,657991,315479,342512,651882,312684,339198,6109,2795,3314,2.27,113015
"합계",강동구,207384,469464,228909,240555,465090,227021,238069,4374,1888,2486,2.24,87016
