자치구명,물건금액(만원)
은평구,33500
동작구,90000
동작구,190000
송파구,11000
구로구,27300
구로구,25300
구로구,25650
구로구,25650
구로구,29550
구로구,29250
구로구,27450
구로구,28050
구로구,27050
구로구,27050
구로구,24200
구로구,27750
구로구,25500
구로구,37800
구로구,26750
구로구,27450
구로구,26300
구로구,27250
구로구,27750
마포구,53000
성북구,68500
강서구,24000
마포구,58000
강북구,8500
성동구,29100
강북구,113971
영등포구,392000
강서구,28000
구로구,23900
종로구,12972
성동구,28800
강서구,24400
강북구,113971
성동구,29100
관악구,37600
강서구,105500
동작구,20500
강동구,25800
성동구,28300
관악구,14700
성동구,28300
성동구,29100
강동구,80000
성동구,28300
강서구,18000
금천구,59800
강북구,53400
서초구,34000
성동구,43300
노원구,18000
중랑구,25500
영등포구,57900
강서구,40000
성동구,43300
강서구,31800
구로구,60000
강서구,10900
관악구,27500
송파구,18900
송파구,15300
강북구,84500
관악구,18000
동대문구,19400
강서구,20000
관악구,27500
강남구,190000
구로구,12600
광진구,16200
서초구,20700
송파구,23000
영등포구,23000
구로구,58000
서초구,24800
은평구,59290
동작구,135000
광진구,14000
구로구,13000
관악구,19900
강서구,31800
은평구,18000
마포구,12000
강서구,50000
관악구,6500
송파구,18900
강서구,20000
동작구,153000
동대문구,90000
양천구,59800
성북구,24700
도봉구,11000
은평구,51000
강동구,23800
송파구,87500
은평구,20800
관악구,27500
서초구,220000
강동구,75000
서대문구,80500
서대문구,13500
광진구,34000
강서구,26000
성동구,28000
강동구,85500
용산구,185000
중구,17500
광진구,50000
성동구,32000
동작구,28000
양천구,48000
서초구,123000
강서구,68700
노원구,61000
마포구,23000
광진구,36000
강동구,127500
서초구,175000
노원구,61000
양천구,9000
서초구,25800
관악구,18000
강서구,14500
용산구,129000
마포구,32000
노원구,70000
성북구,28000
관악구,15000
양천구,110000
은평구,32500
은평구,41000
금천구,24800
성동구,19300
마포구,106700
마포구,17000
송파구,82000
강북구,10700
광진구,105000
중구,19500
영등포구,12000
광진구,50000
송파구,16500
은평구,16000
성동구,137000
종로구,35000
영등포구,114000
광진구,37500
강동구,31700
관악구,69000
용산구,36500
관악구,22000
마포구,90000
중랑구,32000
금천구,25000
도봉구,14500
영등포구,21500
동대문구,12800
강남구,35000
마포구,13000
관악구,12000
양천구,35000
양천구,110000
종로구,16000
은평구,39000
영등포구,17500
서초구,64500
동대문구,75500
서초구,140000
종로구,185000
강동구,32000
광진구,36500
강동구,57744
마포구,22000
성북구,47000
동작구,94000
구로구,12000
은평구,68000
강북구,115215
동대문구,49400
은평구,30800
동대문구,37000
송파구,47000
서초구,31500
강동구,9300
중구,34400
강서구,23500
광진구,86900
노원구,69500
성동구,23000
송파구,20000
영등포구,18700
은평구,22000
서초구,45000
강동구,30000
광진구,35000
마포구,14000
도봉구,10000
마포구,16500
성북구,81500
강남구,23500
양천구,15800
구로구,10000
관악구,15500
양천구,102000
도봉구,32000
노원구,48500
관악구,60000
구로구,28500
강남구,27500
강남구,15500
광진구,160000
강남구,140000
금천구,22700
강서구,44500
영등포구,85000
동작구,125200
강서구,42500
영등포구,27000
광진구,105000
동작구,15500
마포구,14000
강서구,13900
송파구,159000
강동구,28300
서대문구,68000
노원구,38000
은평구,11000
구로구,64600
마포구,53200
성북구,37000
금천구,28000
서대문구,12000
은평구,78500
종로구,10000
도봉구,9000
강동구,15000
마포구,50000
관악구,21000
동작구,25000
중랑구,33500
중구,49800
노원구,9700
영등포구,69000
중구,37500
구로구,23000
동작구,14400
금천구,34800
노원구,39500
마포구,26900
강서구,23500
마포구,25000
서대문구,26400
마포구,137000
강서구,17000
은평구,108500
강북구,21000
강북구,70000
성북구,84000
송파구,23500
영등포구,18000
강북구,21000
서초구,47500
마포구,59000
노원구,59800
동대문구,19500
동작구,54000
성동구,88000
강북구,83500
동대문구,19500
성북구,25800
광진구,139500
강서구,29000
동대문구,19500
노원구,64500
마포구,16400
서대문구,25000
노원구,95000
동대문구,20500
동대문구,16000
동대문구,19500
중랑구,48250
양천구,24600
종로구,23900
성북구,68000
성동구,119000
마포구,22300
송파구,23800
송파구,166000
동대문구,59800
구로구,21800
강서구,61500
송파구,38000
강서구,19000
중랑구,100035
강남구,25000
은평구,110000
은평구,75000
중랑구,29800
영등포구,93000
성동구,19000
서대문구,35000
광진구,17800
양천구,84000
양천구,77000
노원구,71000
서초구,16000
영등포구,20000
동작구,11245
강남구,320000
도봉구,12500
용산구,36500
관악구,64000
동대문구,42500
종로구,36033
종로구,134200
종로구,40650
성동구,447000
종로구,44348
구로구,8000
종로구,48043
강북구,21000
종로구,48043
노원구,51500
종로구,49891
은평구,20500
종로구,46196
강동구,9000
종로구,46196
동대문구,35000
금천구,26000
강서구,8300
영등포구,26000
강서구,35900
서초구,450000
관악구,48000
송파구,228000
강동구,50400
관악구,43300
중구,54000
성북구,80000
송파구,166000
강동구,20000
강동구,32000
마포구,18950
영등포구,78000
동작구,17500
송파구,27900
도봉구,17000
마포구,24000
영등포구,47000
강남구,50000
금천구,18000
영등포구,20800
양천구,50500
영등포구,17700
중랑구,74500
강남구,271000
마포구,37000
도봉구,35300
강남구,255000
강서구,17000
중구,30000
금천구,15000
중랑구,29600
동작구,11245
강북구,17500
성북구,65000
서초구,119000
성북구,29000
관악구,88000
강동구,14800
성동구,30000
광진구,19600
강북구,15000
광진구,12500
마포구,170000
마포구,18000
성북구,86000
송파구,228000
금천구,11000
구로구,13500
양천구,40300
강서구,23000
강서구,29500
강서구,22800
금천구,20000
영등포구,280000
서대문구,21000
구로구,25500
성북구,16000
강북구,20000
관악구,55000
강동구,21500
성북구,25000
강동구,18000
영등포구,97000
종로구,12000
마포구,22500
노원구,55000
관악구,8500
성동구,19000
은평구,30400
강서구,65000
서초구,280000
강동구,74000
금천구,39000
강서구,30000
서대문구,14200
도봉구,63000
동대문구,13300
동대문구,25000
성북구,76000
은평구,13000
영등포구,42800
구로구,24000
양천구,13000
강남구,148400
강남구,17000
노원구,10500
강남구,27500
영등포구,39250
마포구,30000
강동구,20000
양천구,5800
양천구,32200
양천구,44300
용산구,67000
마포구,118000
강동구,99500
동대문구,62500
관악구,14800
광진구,14100
중랑구,28000
도봉구,14550
양천구,35300
송파구,108000
노원구,30000
구로구,71800
중랑구,69000
강서구,17500
동작구,59800
노원구,49950
동작구,83000
강서구,23000
성북구,10500
은평구,15200
마포구,40000
강서구,55000
금천구,14000
용산구,270000
성북구,9500
동작구,33000
송파구,227500
은평구,47500
금천구,25000
동대문구,74500
노원구,24000
강남구,40000
강남구,35000
강서구,120000
광진구,22000
노원구,32000
종로구,23400
송파구,930000
구로구,15000
강북구,25000
은평구,14800
용산구,390000
강동구,133000
금천구,22500
은평구,28500
도봉구,61000
도봉구,28200
도봉구,40500
마포구,42000
강남구,700000
마포구,68650
은평구,11900
성북구,70500
용산구,60000
서대문구,65500
양천구,186000
동대문구,35500
송파구,21500
강동구,120000
송파구,21000
동대문구,26500
동대문구,30000
강서구,45000
강서구,18300
동작구,106500
마포구,19400
마포구,125000
광진구,13500
송파구,23400
광진구,34000
강동구,73000
중랑구,41500
강북구,37500
용산구,57000
은평구,24500
성북구,26000
노원구,71900
동대문구,12600
서대문구,65500
중랑구,30500
은평구,110000
도봉구,25000
도봉구,24000
송파구,19200
영등포구,52000
성동구,34000
성북구,23000
강북구,22500
중랑구,75250
동작구,11000
마포구,68150
양천구,33000
광진구,33000
동대문구,23400
용산구,32000
강북구,17100
은평구,55800
용산구,90000
서대문구,66500
구로구,17000
동대문구,26000
성북구,42000
광진구,48500
강북구,12900
동작구,12800
동작구,36000
성북구,28000
은평구,24000
광진구,13400
서대문구,42500
서초구,267000
서초구,145000
구로구,18000
구로구,26000
동작구,17000
송파구,24000
송파구,128500
송파구,31500
송파구,31500
강서구,7000
광진구,111000
강남구,20500
송파구,172000
강동구,113500
송파구,25000
송파구,25000
송파구,25000
서대문구,17000
송파구,94500
금천구,11000
강서구,20000
강동구,124500
송파구,99500
양천구,210500
서대문구,19000
송파구,26000
동대문구,88500
성북구,60000
성북구,135000
노원구,33200
영등포구,20000
노원구,41000
중랑구,10500
서대문구,56000
강남구,20750
노원구,44400
송파구,21000
중랑구,27000
은평구,54500
마포구,93000
마포구,210000
서대문구,14500
마포구,16200
서초구,125000
광진구,13400
동대문구,10800
도봉구,55000
양천구,25500
영등포구,42800
서초구,200000
양천구,20000
서초구,24000
송파구,25000
마포구,14500
양천구,197000
영등포구,27700
광진구,11000
마포구,37000
송파구,21000
종로구,10400
강동구,15300
구로구,37000
동작구,35900
서초구,31500
강남구,37500
종로구,40000
서대문구,8000
관악구,75000
광진구,34000
강남구,23000
구로구,38500
광진구,111000
성동구,16950
양천구,23300
은평구,39400
은평구,23000
동대문구,71800
노원구,37750
송파구,41000
구로구,19700
서초구,252000
강남구,132700
강북구,12500
강서구,42000
강남구,22900
서초구,27000
강서구,17000
서대문구,11000
강동구,32500
구로구,29000
강남구,350297
동작구,108400
서초구,34100
서초구,65000
강남구,28500
강동구,24900
양천구,157900
중랑구,45000
강동구,9650
강동구,34000
강서구,28800
강북구,16500
강서구,145000
서초구,68500
송파구,182000
광진구,30000
강동구,34000
노원구,42000
강서구,21000
서초구,22800
광진구,19000
노원구,90000
강남구,44000
관악구,15000
송파구,91500
중구,111500
강서구,17700
노원구,49000
성동구,44000
금천구,22500
송파구,22000
노원구,90000
동대문구,93500
노원구,80000
중랑구,12750
동대문구,12000
중랑구,29800
강서구,28800
강서구,26200
노원구,49000
송파구,138000
금천구,22900
서초구,61000
중구,133000
영등포구,40900
은평구,21200
강동구,34000
동대문구,22000
성동구,87500
서대문구,42000
구로구,49500
양천구,81000
중구,28000
구로구,80000
영등포구,21000
종로구,45535
광진구,49000
강동구,55300
금천구,17500
광진구,29000
노원구,47000
관악구,61000
성동구,103000
광진구,29000
관악구,20400
중구,25000
서초구,71000
송파구,24500
광진구,20500
중구,25000
노원구,46000
강남구,46000
양천구,120000
노원구,57500
서대문구,83500
강동구,124000
성동구,82300
은평구,27500
강서구,10000
도봉구,60000
강서구,11500
마포구,15000
은평구,17000
마포구,69200
영등포구,44000
서대문구,152000
영등포구,44000
송파구,260000
금천구,26000
노원구,57600
서대문구,124000
마포구,20000
마포구,11000
성북구,45700
송파구,164000
종로구,46960
강동구,99900
영등포구,23000
강서구,38000
